"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.445161493E1,-1.650509262E1,-3.595215976E-1,-1.819143414E0
4.446161493E1,-1.592483330E1,-5.024927258E-1,-4.725824669E-2
4.447161493E1,-1.479482269E1,-7.310073376E-1,1.722234130E0
4.448161493E1,-1.295952702E1,-8.769695163E-1,3.157329559E0
4.449161493E1,-1.137129116E1,-8.470591903E-1,3.438486099E0
4.450161493E1,-1.035015392E1,-1.453639716E-1,2.644667149E0
4.451161493E1,-9.580862045E0,4.965107143E-2,1.183848977E0
4.452161493E1,-9.147761345E0,4.785645287E-3,-1.059422255E0
4.453161493E1,-9.500103951E0,-1.848455518E-1,-2.887538671E0
4.454161493E1,-9.847063065E0,-3.577269912E-1,-3.732803345E0
4.455161493E1,-1.004626560E1,-7.100701332E-1,-3.986442566E0
4.456161493E1,-9.543772697E0,-8.901300430E-1,-3.387040377E0
4.457161493E1,-9.052646637E0,-7.298108935E-1,-2.375474691E0
4.458161493E1,-8.573483467E0,-9.002995491E-1,-1.618744493E0
4.459161493E1,-8.228319168E0,-1.139581800E0,-1.032503009E0
4.460161493E1,-8.149355888E0,-1.315454245E0,-8.452646136E-1
4.461161493E1,-8.179265976E0,-1.239482164E0,-9.553344250E-1
4.462161493E1,-8.025527000E0,-8.793623447E-1,-1.068993568E0
4.463161493E1,-7.767102242E0,-5.371887088E-1,-1.230509043E0
4.464161493E1,-7.499704361E0,-4.582255483E-1,-1.199402332E0
4.465161493E1,-7.227520943E0,-4.552344978E-1,-1.148554921E0
4.466161493E1,-6.954739094E0,-4.193421602E-1,-1.102493048E0
4.467161493E1,-6.732206345E0,-2.500499785E-1,-1.134197950E0
4.468161493E1,-6.659823418E0,1.764706671E-1,-1.199402332E0
4.469161493E1,-6.632904530E0,3.110669553E-1,-1.234098315E0
4.470161493E1,-6.855436802E0,5.814558864E-1,-1.211366415E0
4.471161493E1,-7.005586624E0,7.950153351E-1,-1.264606714E0
4.472161493E1,-7.097710133E0,8.662018180E-1,-1.354935765E0
4.473161493E1,-7.231110096E0,7.782655358E-1,-1.444068432E0
4.474161493E1,-7.290930748E0,4.809573591E-1,-1.555932879E0
4.475161493E1,-7.160521984E0,2.374876440E-1,-1.740778446E0
4.476161493E1,-7.170093060E0,2.093719877E-2,-2.077568293E0
4.477161493E1,-7.173084259E0,1.298106313E-1,-2.483749866E0
4.478161493E1,-7.229315281E0,2.434697002E-1,-2.889931440E0
4.479161493E1,-7.262814999E0,4.761717021E-1,-3.382853031E0
4.480161493E1,-7.285546780E0,6.233302951E-1,-3.789034605E0
4.481161493E1,-7.478767395E0,6.394818425E-1,-4.107280254E0
4.482161493E1,-7.865806103E0,6.646065116E-1,-4.081557274E0
4.483161493E1,-8.289934158E0,5.461617708E-1,-4.087539196E0
4.484161493E1,-8.781061172E0,4.025924206E-1,-4.112065792E0
4.485161493E1,-9.138189316E0,4.426721856E-2,-4.431507587E0
4.486161493E1,-9.570692062E0,-3.631108403E-1,-4.774279594E0
4.487161493E1,-1.007019424E1,-7.220342159E-1,-4.939982414E0
4.488161493E1,-1.078265667E1,-1.121037364E0,-4.804189682E0
4.489161493E1,-1.158843994E1,-1.248455167E0,-4.693521500E0
4.490161493E1,-1.224646664E1,-9.870393276E-1,-4.829912663E0
